Date,ISO3166-2,Relative Humidity Surface,Solar Radiation,Surface Pressure,Temperature Above Ground,Total Precipiation,UV-Index,Wind Speed
2020-06-07,DE-HH,67.31906500000001,16363395.628788,2406787.693182,286.62572400000005,0.000303,35.643939,3.974242
2020-06-08,DE-HH,71.942643,11810281.265152,2425470.74053,287.626548,0.0009660000000000001,36.727273,1.7243060000000001
2020-06-09,DE-HH,66.808049,9014724.204545,2435574.037879,288.391507,0.000426,38.075758,2.745644
2020-06-10,DE-HH,62.33074499999999,13530279.196969999,2430774.780303,290.015717,0.000334,41.848485,3.498737
2020-06-11,DE-HH,87.60640699999999,309580.850497,2422495.0492419996,288.796308,0.009414,24.075758,3.701578
2020-06-12,DE-HH,80.817014,7154473.306817999,2420306.0132580004,291.750856,3.7e-05,33.098485,3.629545
2020-06-13,DE-HH,90.185164,9831338.386364,2421670.757576,291.166096,0.022043,28.977272999999997,3.799748
2020-06-14,DE-HH,83.50397199999999,1470121.594697,2424851.316288,290.880835,0.008053,21.424242,3.3495269999999997
2020-06-15,DE-HH,63.502683999999995,16765302.151515,2429121.179924,292.03339900000003,1e-06,43.939394,2.942898
2020-06-16,DE-HH,59.056314,19315166.060606,2426280.695076,293.324025,1.4000000000000001e-05,43.931818,1.85745
2020-06-17,DE-HH,57.954198,17576509.045454998,2421150.598485,294.744283,0.0,43.931818,2.1352900000000004
2020-06-18,DE-HH,70.923232,12120137.280303,2418182.467803,293.247008,0.007023000000000001,41.356061,2.78166
2020-06-19,DE-HH,80.39173100000001,5251432.681818,2425239.785985,291.083938,0.003401,27.098484999999997,3.847696
2020-06-20,DE-HH,69.830966,4030978.6969699995,2437030.774621,291.229445,0.001091,34.795455,4.363194
2020-06-21,DE-HH,62.375977,21691957.954545002,2438590.806818,292.24785099999997,7.4e-05,44.075758,2.248832
2020-06-22,DE-HH,60.830208999999996,18294253.621212,2446899.721591,292.758238,0.00053,44.151515,3.823548
2020-06-23,DE-HH,57.663889000000005,23088932.621212,2453875.780303,292.098009,0.0,44.204545,2.170044
2020-06-24,DE-HH,58.557449,21598833.833332997,2453125.397727,294.068496,0.0,44.242424,2.760543
2020-06-25,DE-HH,64.349083,18718215.69697,2443382.106061,295.95338,0.00010800000000000001,43.893939,3.731439
2020-06-26,DE-HH,57.459028,19184478.530303,2426945.878788,297.851703,2.8999999999999997e-05,44.280303,3.1637939999999998
2020-06-27,DE-HH,68.139108,16802100.022726998,2413680.092803,296.728502,0.005971,41.651515,2.548359
