index,date,iso3166-2,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed
6759,2020-06-17,DE-NW,80.274043,8092553.888156,2378496.01803,18.340276000000017,0.011387000000000001,32.471264,1.979855
6813,2020-06-18,DE-NW,80.28459699999999,4889905.928626,2379361.797442,17.330712000000062,0.00403,32.615731,2.089094
6867,2020-06-19,DE-NW,69.78264899999999,13147031.117647,2388923.180584,18.286716000000013,0.000641,40.050484999999995,2.838611
6921,2020-06-20,DE-NW,67.472483,12689018.191233,2399821.647341,17.553357000000005,0.00015800000000000002,43.187965000000005,2.545671
6975,2020-06-21,DE-NW,62.421769999999995,12125382.647059,2398446.465686,19.348991000000012,0.000129,45.622493,2.0928869999999997
7029,2020-06-22,DE-NW,68.958182,10323791.039892,2408853.667568,18.026378000000022,0.000488,38.755465,2.355788
7083,2020-06-23,DE-NW,58.354176,22508372.283074,2410645.7363650003,20.065504000000033,0.0,46.929006,1.652887
7137,2020-06-24,DE-NW,51.76525,23091135.580347,2405411.344997,21.63472999999999,0.0,46.712193,2.949898
7191,2020-06-25,DE-NW,59.066033,17401056.180753,2395857.959376,22.186120000000017,6.7e-05,45.45346,3.222873
7245,2020-06-26,DE-NW,54.666183,21615834.711742003,2381105.384945,23.04963600000002,0.001317,46.717827,3.061864
7299,2020-06-27,DE-NW,64.160926,13087391.587559,2375495.9423599998,22.507435000000044,0.0032649999999999997,41.561865999999995,3.8363300000000002
7353,2020-06-28,DE-NW,66.31456800000001,5217646.59973,2381737.8033580002,18.166270000000054,0.0008640000000000001,31.816091999999998,3.829575
7407,2020-06-29,DE-NW,61.004171,13046473.233378,2379258.882466,16.483330000000024,0.001103,41.904891,4.33451
7461,2020-06-30,DE-NW,61.84771,4248118.130057,2373741.077586,16.819294000000014,0.002118,33.771693,5.4262120000000005
7515,2020-07-01,DE-NW,84.582712,2503888.280468,2369267.621704,17.707217000000014,0.018121,27.89272,3.8738980000000005
7569,2020-07-02,DE-NW,78.27908199999999,7660265.818008,2378598.6063779998,16.513064000000043,0.002395,35.822177,3.320127
7623,2020-07-03,DE-NW,73.42084100000001,6353666.611393,2391047.011607,16.348277999999993,0.0008460000000000001,31.218615999999997,3.844318
7677,2020-07-04,DE-NW,71.18345699999999,3129664.839338,2386159.389002,17.97425800000002,0.001971,30.658778,5.309451
7731,2020-07-05,DE-NW,75.307588,2357446.319163,2378060.924048,19.453313000000037,0.001696,27.787469,6.436968
7785,2020-07-06,DE-NW,70.951105,12523591.08677,2388998.070825,14.147528000000023,0.002903,37.181429,5.205741000000001
7839,2020-07-07,DE-NW,70.01615600000001,10318915.631057002,2396788.362351,14.571827000000042,0.001086,40.66847,2.742163
7893,2020-07-08,DE-NW,88.558167,199219.14694200002,2388679.940444,13.95177799999999,0.006456999999999999,23.703178,2.324805
7947,2020-07-09,DE-NW,84.224917,3942478.282574,2381540.412384,17.712288,0.00433,28.550371999999996,3.597695
8001,2020-07-10,DE-NW,81.200439,5360208.477462,2382789.460953,15.525397999999996,0.002643,28.383142,3.6349160000000005
8055,2020-07-11,DE-NW,70.954598,13680390.744647,2408091.9455150003,14.040687000000048,0.0008960000000000001,41.983773,1.939472
8109,2020-07-12,DE-NW,64.238316,12862276.832319,2415284.837616,15.424548000000016,0.000194,46.433401,1.8080619999999998
8163,2020-07-13,DE-NW,57.265062,17070457.413792998,2403559.8129930003,18.01328799999999,1e-06,46.725941,1.60127
8217,2020-07-14,DE-NW,73.16167800000001,9041248.972842,2386276.0594430002,16.38743100000005,0.0033640000000000002,38.826459,1.883103
8271,2020-07-15,DE-NW,73.184812,8059781.283976,2385154.1928669997,15.798254000000043,0.0015140000000000002,34.684246,2.3438849999999998
8325,2020-07-16,DE-NW,87.31916899999999,1011137.869234,2391793.939824,14.919783999999993,0.0026850000000000003,24.147848,1.8591380000000002
8379,2020-07-17,DE-NW,77.20844100000001,7209017.368182001,2399673.910018,17.19443100000001,0.0007480000000000001,36.011494,1.726405
8433,2020-07-18,DE-NW,66.144848,10210304.099955,2396017.5169599997,19.80943000000002,0.00022999999999999998,38.179175,1.469603
