index,date,iso3166-2,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed
3726,2020-04-22,DE-BB,50.889882,18590440.619131,2443096.2678259998,11.67522600000001,0.0,26.786091,3.398911
3780,2020-04-23,DE-BB,51.065818,18857960.398694,2432817.783329,13.163599000000033,0.0,27.346473,1.8649580000000001
3834,2020-04-24,DE-BB,49.205159,12712681.748933,2401417.172985,13.629850999999974,0.0,24.890535,3.5914629999999996
3888,2020-04-25,DE-BB,57.370098999999996,4912296.471096,2405556.522345,10.558181999999988,0.00036899999999999997,20.66106,3.557833
3942,2020-04-26,DE-BB,54.030841,7611225.951292999,2407914.8885259996,11.127152000000024,0.000312,26.356765999999997,1.847319
3996,2020-04-27,DE-BB,51.715796999999995,17359910.297514003,2400378.7279689997,13.466963000000021,0.0,28.987949,1.982705
4050,2020-04-28,DE-BB,54.462491,12627847.432839999,2391110.2753580003,15.468095000000062,0.001219,24.875973000000002,2.567371
4104,2020-04-29,DE-BB,82.204625,3882905.047026,2393530.416332,11.711904000000004,0.004343,14.61411,2.2760569999999998
4158,2020-04-30,DE-BB,77.16532099999999,4094089.705749,2390641.208888,13.013531,0.002306,16.11524,3.2761709999999997
4212,2020-05-01,DE-BB,65.556084,12966314.066784,2385546.703992,12.592719000000045,0.001218,24.960582000000002,3.843817
4266,2020-05-02,DE-BB,79.846343,10185999.102561,2395435.309628,9.84633500000001,0.00411,21.521214999999998,3.366014
4320,2020-05-03,DE-BB,74.73584,7755546.729286999,2419416.967926,10.145975000000021,0.000575,18.794125,3.116104
4374,2020-05-04,DE-BB,80.962769,3649105.019332,2421994.96642,8.762120000000039,0.004713,15.889279,1.978273
4428,2020-05-05,DE-BB,71.807879,14701677.302787,2426420.141225,7.194368999999995,0.0016710000000000002,26.077329000000002,3.474546
4482,2020-05-06,DE-BB,56.999494999999996,15767687.593146,2433047.4513560003,10.744163000000015,1e-06,31.576952000000002,4.0870690000000005
4536,2020-05-07,DE-BB,66.143203,9109540.574692,2433349.763809,10.382881999999995,1.3000000000000001e-05,23.781572,3.208414
