date,region_code,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed,region
2020-05-04,DE-TH,81.159961,5114471.653187,2338048.212417,8.395291000000043,0.003803,16.884872,2.601685,Baden-Württemberg
2020-05-05,DE-BB,71.807879,14701677.302787,2426420.141225,7.194368999999995,0.0016710000000000002,26.077329000000002,3.474546,Mecklenburg-Vorpommern
2020-05-05,DE-BE,70.081817,14618178.062936999,2431154.407343,7.753961000000004,0.001381,28.762238,3.8852269999999995,Niedersachsen
2020-05-05,DE-BW,72.700817,5837928.261035,2306734.215623,9.831797000000051,0.002136,22.405593,2.569136,Nordrhein-Westfalen
2020-05-05,DE-BY,69.88234,8831166.102851,2291049.354798,8.52099400000003,0.001448,26.579348,2.486434,Rheinland-Pfalz
2020-05-05,DE-HB,62.22686899999999,12664057.653846001,2449817.227564,9.246952000000022,0.00042699999999999997,32.230769,4.384455,Saarland
2020-05-05,DE-HE,59.86849,17717856.594665,2361081.4577619997,7.969007000000033,0.0,33.573175,3.096653,Sachsen
2020-05-05,DE-HH,59.816067000000004,16840206.613636,2443018.515152,8.916672000000062,0.000509,34.909091,3.4620580000000003,Sachsen-Anhalt
2020-05-05,DE-MV,70.03256999999999,13541857.307833001,2436305.900945,7.593983000000037,0.001749,26.192624,4.121049,Schleswig-Holstein
2020-05-05,DE-NI,61.677482,13893664.916667001,2431909.607456,8.257805000000019,0.00020899999999999998,33.956604,3.3511660000000005,Thüringen
2020-05-05,DE-NW,58.851034,18005668.79716,2400949.646326,8.487079000000051,2e-06,34.794005,2.777096,Baden-Württemberg
2020-05-05,DE-RP,60.684245999999995,13142899.522412,2355567.3835779997,9.230917000000034,0.0,31.909956,3.2881099999999996,Bayern
2020-05-05,DE-SH,64.075816,16470148.568811,2446429.106122,8.588290000000029,0.000417,32.71269,4.044193,Berlin
2020-05-05,DE-SL,60.826801,7554443.845109,2355410.027853,10.464525999999978,0.0,33.701087,4.455344,Brandenburg
2020-05-05,DE-SN,74.707038,14262427.640492002,2360552.6178900003,6.111440000000016,0.001004,26.874788,3.3567730000000005,Bremen
2020-05-05,DE-ST,65.218747,15642807.932328,2413340.797904,7.673155000000008,0.00061,30.694373,3.354741,Hamburg
2020-05-05,DE-TH,65.463574,13675433.295433,2344166.303996,6.569680000000005,0.000398,32.548049,2.889583,Hessen
2020-05-06,DE-BB,56.999494999999996,15767687.593146,2433047.4513560003,10.744163000000015,1e-06,31.576952000000002,4.0870690000000005,Sachsen-Anhalt
2020-05-06,DE-BE,53.606235999999996,18157465.230769,2437660.7062939997,11.909006000000034,0.0,33.447552,4.726078,Schleswig-Holstein
2020-05-06,DE-BW,53.054761,19505699.997920003,2317770.155593,9.504170000000045,2e-06,38.008089,2.786098,Thüringen
2020-05-06,DE-BY,59.491187,16647205.116162,2301982.37984,7.898478000000011,2.4e-05,36.278016,2.038894,Baden-Württemberg
2020-05-06,DE-HB,66.664048,20811761.25641,2457132.3076919997,9.723349000000042,0.0,34.794872,4.141506,Bayern
2020-05-06,DE-HE,53.656456000000006,20297739.384216,2370568.98379,9.410094000000015,0.0,35.591701,2.403634,Berlin
2020-05-06,DE-HH,64.61158499999999,20561994.30303,2449911.477273,9.19668999999999,2e-06,35.0,3.9328279999999998,Brandenburg
2020-05-06,DE-MV,61.712915,19992103.244742002,2442300.1709080003,10.147041999999999,0.0,31.955501,5.222907,Bremen
2020-05-06,DE-NI,61.85146999999999,20632637.574561,2439327.965461,9.427648000000033,0.0,34.883699,3.153382,Hamburg
2020-05-06,DE-NW,53.765715,21076629.101645,2409299.858238,10.342539000000045,0.0,35.075952,2.062322,Hessen
2020-05-06,DE-RP,49.010588,21504334.698135998,2366074.309798,9.91075699999999,0.0,36.577152000000005,2.8857880000000002,Mecklenburg-Vorpommern
2020-05-06,DE-SH,68.718874,18731998.130473997,2452504.926832,8.78824400000002,1e-06,32.169348,5.008771,Niedersachsen
2020-05-06,DE-SL,46.188303999999995,21816584.5,2366518.817255,10.568729000000019,0.0,37.834239000000004,4.077967,Nordrhein-Westfalen
2020-05-06,DE-SN,64.205762,8026721.435378,2368756.434104,8.249785000000031,1.4999999999999999e-05,26.997453000000004,3.6214190000000004,Rheinland-Pfalz
2020-05-06,DE-ST,53.963554,18827219.634423997,2420889.7226919997,10.233772000000044,0.0,34.841854,3.4656540000000002,Saarland
2020-05-06,DE-TH,59.601263,14555364.216698,2353075.1471220003,8.169190000000015,1e-06,34.258801,2.488109,Sachsen
2020-05-07,DE-BB,66.143203,9109540.574692,2433349.763809,10.382881999999995,1.3000000000000001e-05,23.781572,3.208414,Brandenburg
2020-05-07,DE-BE,65.950758,7761245.178322,2438059.286713,10.997435999999993,2.4e-05,24.503497,3.6885779999999997,Bremen
2020-05-07,DE-BW,50.870658,22182562.490870997,2318242.307777,12.647358999999994,0.0,39.279408000000004,1.76173,Hamburg
2020-05-07,DE-BY,55.055454000000005,21670484.316498,2302759.2438970003,11.340771000000018,0.0,38.432786,1.7182669999999998,Hessen
2020-05-07,DE-HB,68.074625,17254555.410256,2452258.032051,10.796958000000018,1e-06,29.846154,3.367308,Mecklenburg-Vorpommern
2020-05-07,DE-HE,51.170909,21443294.932938002,2368145.689607,12.463681000000008,0.0,35.72249,1.693559,Niedersachsen
2020-05-07,DE-HH,67.546116,15156271.939394,2445999.873106,10.78169600000001,0.0,28.287878999999997,3.646275,Nordrhein-Westfalen
2020-05-07,DE-MV,68.37056899999999,10516859.150564,2440588.897745,10.82043600000003,1.3000000000000001e-05,24.406582999999998,4.104381,Rheinland-Pfalz
2020-05-07,DE-NI,63.063933,18365997.861842003,2435141.193531,10.801890000000014,2e-06,32.532271,2.562195,Saarland
2020-05-07,DE-NW,51.624356,20772969.813387,2405387.849842,12.58003500000001,0.0,35.078882,1.441648,Sachsen
2020-05-07,DE-RP,50.020508,21612359.613645002,2363768.635065,13.05742600000002,0.0,36.894486,1.5901100000000001,Sachsen-Anhalt
2020-05-07,DE-SH,71.78856800000001,14955271.283289002,2448116.033065,10.167356999999981,2e-06,26.686327000000002,4.492195,Schleswig-Holstein
2020-05-07,DE-SL,47.64059,21965745.777174,2364831.449728,13.795958000000041,0.0,38.0,2.045245,Thüringen
2020-05-07,DE-SN,61.02384,17630153.240238,2369304.661927,9.542066000000034,3e-06,32.476231,3.5214839999999996,Baden-Württemberg
2020-05-07,DE-ST,61.48766,17344431.801398,2419329.394998,11.248154999999997,4e-06,32.048179,3.027545,Bayern
2020-05-07,DE-TH,50.401984000000006,21406440.784015,2351715.334206,11.518282,0.0,35.616556,2.588723,Berlin
2020-05-08,DE-BB,54.083298,17619074.653025,2423987.819232,13.683258000000023,0.0,28.824002,2.137586,Nordrhein-Westfalen
2020-05-08,DE-BE,52.000612,17664416.0,2428622.286713,14.733074000000045,0.0,33.307691999999996,2.512471,Rheinland-Pfalz
2020-05-08,DE-BW,51.974262,16307861.263693,2306064.544661,16.580394000000013,5.4000000000000005e-05,33.914259,2.066102,Saarland
2020-05-08,DE-BY,52.923903,18248214.570707,2290998.7154880003,15.484381000000042,2e-06,35.196169,1.8835009999999999,Sachsen
2020-05-08,DE-HB,59.911377,16673970.269230999,2441201.3173080003,13.109827999999993,0.0,32.525641,1.9461,Sachsen-Anhalt
2020-05-08,DE-HE,48.907388,16177461.501297,2355719.2789,15.328546000000017,1e-06,29.926639,1.883478,Schleswig-Holstein
2020-05-08,DE-HH,61.395265,19454256.545454998,2436111.755682,12.124682000000007,0.0,33.69697,1.9572919999999998,Thüringen
