date,region_code,confirmed_addition,deceased_addition
2021-01-08,Berlin,1280,32
2021-01-09,Berlin,433,11
2021-01-10,Berlin,238,13
2021-01-11,Berlin,1379,38
2021-01-12,Berlin,1179,52
2021-01-13,Berlin,1199,34
2021-01-14,Berlin,1021,37
2021-01-15,Berlin,901,32
2021-01-16,Berlin,295,10
2021-01-17,Berlin,168,7
2021-01-18,Berlin,667,30
2021-01-19,Berlin,894,31
2021-01-20,Berlin,875,28
2021-01-21,Berlin,676,16
2021-01-22,Berlin,665,21
2021-01-23,Berlin,266,7
2021-01-24,Berlin,57,3
2021-01-25,Berlin,618,16
2021-01-26,Berlin,691,9
2021-01-27,Berlin,657,14
2021-01-28,Berlin,499,8
2021-01-29,Berlin,518,8
2021-01-30,Berlin,177,5
2021-01-31,Berlin,58,3
2021-02-01,Berlin,632,15
2021-02-02,Berlin,516,13
2021-02-03,Berlin,492,12
2021-02-04,Berlin,441,11
2021-02-05,Berlin,390,9
2021-02-06,Berlin,200,4
2021-02-07,Berlin,26,2
2021-02-08,Berlin,422,10
2021-02-09,Berlin,467,4
2021-02-10,Berlin,426,5
2021-02-11,Berlin,380,2
2021-02-12,Berlin,336,7
2021-02-13,Berlin,101,0
2021-02-14,Berlin,36,1
2021-02-15,Berlin,387,6
2021-02-16,Berlin,367,0
2021-02-17,Berlin,450,0
2021-02-18,Berlin,388,1
2021-02-19,Berlin,338,0
2021-02-20,Berlin,165,0
2021-02-21,Berlin,8,0
