,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
7787,2020-07-06,DE-SH,75.642339,12814662.737265,2416828.754915,287.191259,0.006528,36.075961,7.099058
7841,2020-07-07,DE-SH,75.926823,10780273.416889999,2432599.380809,286.55701400000004,0.003824,27.48034,4.794333
7895,2020-07-08,DE-SH,72.538995,13840437.960679,2429912.063561,286.857375,0.000785,36.653709,3.805474
7949,2020-07-09,DE-SH,85.61062,1809413.199573,2425841.278038,285.265371,0.005347,23.782842000000002,1.8869529999999999
8003,2020-07-10,DE-SH,84.65955100000001,1643581.28569,2422212.1837580004,285.741473,0.011768,24.748435999999998,3.8963970000000003
8057,2020-07-11,DE-SH,72.134231,16129997.604557998,2447484.1100310003,287.01629199999996,0.000665,42.138517,4.572596
8111,2020-07-12,DE-SH,71.787717,11198748.410858,2458754.634383,287.64021099999997,0.000346,34.053619,3.802975
8165,2020-07-13,DE-SH,71.308113,13880312.217157999,2448903.682752,288.663009,0.000127,30.888293,2.7416549999999997
8219,2020-07-14,DE-SH,84.369061,3270288.603329,2428076.305853,288.399374,0.006293,22.941019,2.74202
8273,2020-07-15,DE-SH,80.032228,12918148.049598,2426313.6697939998,288.50743,0.002703,31.277479999999997,2.595387
8327,2020-07-16,DE-SH,73.213266,14212476.914208999,2435017.486707,288.99942000000004,0.0004,32.464701,2.053552
8381,2020-07-17,DE-SH,71.691726,17641571.37042,2442982.703977,290.232637,1.7e-05,42.296246999999994,2.029837
8435,2020-07-18,DE-SH,69.42505899999999,9415302.432976,2440967.999888,292.47274300000004,7.4e-05,30.088471999999996,2.068547
8489,2020-07-19,DE-SH,72.434905,6983289.19437,2431197.581434,293.436031,0.000637,29.181859000000003,2.841445
8543,2020-07-20,DE-SH,70.946169,14118236.063003,2438244.094839,289.425661,0.0019210000000000002,37.843164,4.070489
8597,2020-07-21,DE-SH,72.553173,14701500.941019,2446742.121314,287.804994,0.000682,32.56345,3.575389
8651,2020-07-22,DE-SH,71.317347,10873660.832887,2446947.538762,287.836004,0.000554,31.360143,2.524512
8705,2020-07-23,DE-SH,68.911078,9444620.692917999,2432545.290438,289.315503,0.000595,28.961572999999998,2.503124
8759,2020-07-24,DE-SH,76.363457,9819714.802055,2416788.632373,290.24464900000004,0.0021739999999999997,29.881590999999997,4.558004
8813,2020-07-25,DE-SH,79.905307,9318797.873101,2419075.889075,290.86085,0.001157,24.274352,2.9514150000000003
8867,2020-07-26,DE-SH,81.94001999999999,7314648.7071050005,2416989.302391,290.867308,0.010703,30.367292,4.247786
8921,2020-07-27,DE-SH,76.708473,3862622.0235699997,2425868.6757150004,290.773183,0.003629,23.38874,3.284246
8975,2020-07-28,DE-SH,70.566738,13558368.264522,2414592.712578,290.552176,0.000672,32.823056,5.866769000000001
9029,2020-07-29,DE-SH,73.371872,10623284.103887,2431817.429736,288.25437900000003,0.001137,23.527256,6.087398
9083,2020-07-30,DE-SH,70.862814,8109987.800714999,2442500.952748,288.973571,9.8e-05,30.773905,3.997583
9137,2020-07-31,DE-SH,71.157012,17966367.794459,2440410.736819,290.985478,0.0,34.955317,2.102305
9191,2020-08-01,DE-SH,69.97659399999999,10813831.131814,2429240.749777,293.492617,0.0030510000000000003,27.263628000000004,3.671669
9245,2020-08-02,DE-SH,79.07504300000001,6855646.157507,2425743.984361,291.28809,0.00139,27.88025,3.256509
9299,2020-08-03,DE-SH,74.290504,13153224.690794999,2426357.701408,289.10945899999996,0.000521,30.658624,2.721982
9353,2020-08-04,DE-SH,71.525865,13616613.156836,2431905.504915,288.515309,0.0004,36.266309,2.730306
9407,2020-08-05,DE-SH,60.74878199999999,13661052.977882002,2433368.75391,293.01068100000003,0.000478,33.164879,4.043229
9461,2020-08-06,DE-SH,57.67110699999999,18435826.313673,2443443.169459,295.662891,5e-06,37.584897,2.441132
9515,2020-08-07,DE-SH,59.75399,19265347.105451003,2447605.6399689997,296.451823,0.0,37.547364,2.679336
9569,2020-08-08,DE-SH,67.603874,17363498.954423998,2444924.563114,297.111939,3e-06,36.388293,2.088204
9623,2020-08-09,DE-SH,62.776193000000006,13638050.544236,2442328.091935,296.743014,9e-06,25.075067,2.815159
9677,2020-08-10,DE-SH,69.395403,17105730.06345,2439938.73492,297.05445299999997,0.000776,35.865505,3.808004
9731,2020-08-11,DE-SH,69.218075,18498904.788204,2443840.910188,296.624403,2.2e-05,35.693923,4.6341730000000005
9785,2020-08-12,DE-SH,65.145135,16308926.354781,2440355.681747,295.692663,1e-05,35.082215999999995,4.646738
