,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
6481,2020-06-12,DE-BE,74.834147,10601815.692308,2412970.0506990002,294.081463,0.0005690000000000001,34.797203,2.9270400000000003
6535,2020-06-13,DE-BE,81.895686,13553118.853147,2412036.966783,294.925171,0.004425,40.090909,3.240822
6589,2020-06-14,DE-BE,69.810517,10271332.741259,2415445.811189,294.055212,0.000297,34.097902000000005,3.5360720000000003
6643,2020-06-15,DE-BE,55.337908999999996,17024134.79021,2420947.368881,293.477887,0.0,45.93007,3.0278259999999997
6697,2020-06-16,DE-BE,56.012207999999994,17587438.496503,2419287.91958,294.301809,0.0,45.727273,1.866929
6751,2020-06-17,DE-BE,52.07477,12649599.923077,2412520.3583919997,296.42418599999996,1e-06,45.776224,2.454254
6805,2020-06-18,DE-BE,61.998864000000005,12828918.818182,2409056.823427,295.02366,0.000233,40.377621999999995,3.049563
6859,2020-06-19,DE-BE,78.665471,1109447.72771,2415782.412587,291.792981,0.0033829999999999997,27.629371000000003,3.396707
6913,2020-06-20,DE-BE,82.457926,517075.536276,2425306.346154,290.09705099999996,0.0057740000000000005,25.398601,5.54764
6967,2020-06-21,DE-BE,72.017394,4836489.0419580005,2429848.288462,291.539806,0.004302,28.216783000000003,4.224417
7021,2020-06-22,DE-BE,55.747087,19176902.503497,2437168.704545,293.450872,7.4e-05,45.972028,3.648193
7075,2020-06-23,DE-BE,50.426458000000004,21121525.958042,2445441.3881119997,292.836278,0.0,46.0,3.4477269999999995
7129,2020-06-24,DE-BE,59.87954499999999,9552262.909091,2444605.923077,293.886797,0.001621,41.86014,2.83715
7183,2020-06-25,DE-BE,60.739656999999994,12766997.244755,2436794.7937060003,296.35996600000004,0.001794,41.104895,3.925874
7237,2020-06-26,DE-BE,70.285139,14545809.321678,2422277.227273,295.555596,0.0045520000000000005,40.552448,2.9464740000000003
7291,2020-06-27,DE-BE,59.160343000000005,17920074.685314998,2410013.9405590002,297.83779,9e-06,45.244755,2.669231
7345,2020-06-28,DE-BE,70.570048,10325650.335664,2415494.0594409998,295.128496,0.002107,36.811189,3.014336
7399,2020-06-29,DE-BE,62.205769,11404989.636364,2412391.2255240004,292.407778,0.000384,40.629371,2.178875
7453,2020-06-30,DE-BE,50.922377000000004,8220326.097902001,2405955.402098,292.55798300000004,1.4000000000000001e-05,43.804196000000005,4.813403
7507,2020-07-01,DE-BE,72.265826,2097952.8854900002,2403363.737762,292.945424,0.016944,31.825175,3.8274550000000005
7561,2020-07-02,DE-BE,67.458449,13862978.328670999,2409878.7062939997,293.400377,0.001471,41.076923,3.156935
7615,2020-07-03,DE-BE,62.065704000000004,11486941.160839,2422272.236014,292.64496,0.001423,40.699301,4.019406
7669,2020-07-04,DE-BE,54.848195,14625826.524476001,2419774.008741,294.343794,0.003472,43.895105,4.656235
7723,2020-07-05,DE-BE,67.183859,3131795.695804,2408934.7062939997,295.479928,0.001529,34.706294,5.542395
7777,2020-07-06,DE-BE,62.846387,14647799.58042,2412985.174825,290.894379,0.000221,44.545455,6.129662000000001
7831,2020-07-07,DE-BE,60.631671,6790698.513986,2427269.5262240004,289.311042,0.000892,41.391608000000005,4.597931
7885,2020-07-08,DE-BE,70.052651,4342474.019231,2423229.438811,288.700085,0.0008820000000000001,32.083915999999995,3.339714
7939,2020-07-09,DE-BE,85.37567,2284172.26486,2417822.347902,290.14889500000004,0.008236,27.839160999999997,2.944435
7993,2020-07-10,DE-BE,81.113752,6033396.020979,2411394.9562939997,291.341494,0.0027,35.174825,4.06046
8047,2020-07-11,DE-BE,63.71765799999999,11211056.545455,2439149.036713,288.848275,3.4e-05,44.041958,3.4714160000000005
8101,2020-07-12,DE-BE,58.156293999999995,11671202.916083999,2449236.767483,289.6979,4.4e-05,45.13986,3.384033
8155,2020-07-13,DE-BE,55.705362,8290584.416084,2440833.396853,291.746645,0.0,44.629371,2.041171
8209,2020-07-14,DE-BE,49.228671000000006,15444410.958042001,2419582.2255240004,294.86256099999997,7.6e-05,44.825175,2.8145689999999997
8263,2020-07-15,DE-BE,84.215616,2427853.254371,2416183.8146849996,289.726834,0.0069299999999999995,25.545455,2.576428
8317,2020-07-16,DE-BE,73.339712,14829061.629370999,2423306.8671330004,289.928701,0.002026,40.314685,2.776544
8371,2020-07-17,DE-BE,80.644609,6273461.807692,2430880.6118880003,289.753029,0.0009390000000000001,27.895104999999997,2.6029430000000002
8425,2020-07-18,DE-BE,66.879312,10640596.034965,2432148.0104900002,293.815554,3.4e-05,44.209790000000005,1.398514
8479,2020-07-19,DE-BE,62.319697999999995,17126995.517483,2423169.984266,296.447899,0.0017350000000000002,44.097902000000005,1.9111599999999997
8533,2020-07-20,DE-BE,69.121998,10497334.853147,2424991.646853,293.345863,0.008921,39.629371,3.24021
8587,2020-07-21,DE-BE,56.285227,13112119.916083999,2437003.0699299998,291.195807,2.1e-05,42.468531,3.422086
8641,2020-07-22,DE-BE,54.787791000000006,10257623.524476,2437131.484266,290.780475,0.000252,40.538462,3.0717950000000003
8695,2020-07-23,DE-BE,56.705101,10506608.797203,2425585.019231,291.428964,0.001131,39.811189,2.068619
8749,2020-07-24,DE-BE,53.098135,14078887.300699,2410675.585664,294.022316,0.000233,39.293706,4.119987999999999
8803,2020-07-25,DE-BE,63.005128000000006,11038367.986014,2415178.895105,293.741082,0.00041600000000000003,33.615384999999996,2.0219110000000002
8857,2020-07-26,DE-BE,81.517219,5458720.223776001,2413703.5576919997,291.55154100000004,0.0062369999999999995,34.209790000000005,2.7838
8911,2020-07-27,DE-BE,68.75186500000001,9436230.230769001,2422987.316434,293.62654100000003,0.000517,36.678321999999994,2.340414
8965,2020-07-28,DE-BE,55.59501899999999,12259611.090909,2409648.166084,295.8201,0.000505,39.034965,4.509994
9019,2020-07-29,DE-BE,53.048106000000004,10074091.601399,2427888.812937,291.848723,1e-05,39.972028,4.422465
9073,2020-07-30,DE-BE,54.014627000000004,18776172.643357,2434659.958042,291.246619,4.9e-05,40.846154,3.192628
9127,2020-07-31,DE-BE,53.681964,20163423.524476,2431130.167832,293.46972400000004,0.0,40.979021,2.760897
9181,2020-08-01,DE-BE,50.062265999999994,18066725.72028,2423715.5944060003,295.90781200000004,0.00014199999999999998,40.979021,2.8805650000000003
9235,2020-08-02,DE-BE,70.921532,4480358.118881,2416074.984266,293.868534,0.002949,35.111888,2.352477
9289,2020-08-03,DE-BE,68.251486,8036428.087413001,2413807.8146849996,291.855504,9.7e-05,29.769231,3.056818
9343,2020-08-04,DE-BE,60.924738,7464440.828671001,2420750.393357,291.211801,0.000272,36.594406,2.4294580000000003
9397,2020-08-05,DE-BE,51.11958,18917506.923077,2431074.777972,293.942717,0.0,40.692308000000004,2.5312349999999997
9451,2020-08-06,DE-BE,47.579429,19754942.629371,2438405.15035,296.40516,0.0,41.0,2.768357
9505,2020-08-07,DE-BE,54.112559,13262771.93007,2437727.8513990003,298.930477,1.9e-05,40.846154,2.283071
9559,2020-08-08,DE-BE,48.029925,17047059.321678,2432960.994755,300.922727,6e-06,40.622378000000005,2.0309150000000002
9613,2020-08-09,DE-BE,54.033013000000004,10682451.195804,2428494.33042,300.05413799999997,0.001713,35.748252,2.346212
9667,2020-08-10,DE-BE,62.50338000000001,11145717.51049,2429446.945804,297.856676,0.0014119999999999998,36.783217,2.624475
9721,2020-08-11,DE-BE,50.00848,17557451.006993,2433179.166084,299.124385,0.00021,38.0,3.915035
9775,2020-08-12,DE-BE,41.066084000000004,19015359.580420002,2431251.75,298.205332,0.0,38.0,3.339307
9829,2020-08-13,DE-BE,45.502798,14802621.685315,2420894.234266,298.245979,0.000196,36.188811,2.607459
9883,2020-08-14,DE-BE,57.299884,5940491.986014,2417742.7937060003,296.65475,0.002875,35.034965,2.788025
9937,2020-08-15,DE-BE,54.286714,14791907.839161,2420597.298951,297.798018,4.1e-05,36.636364,2.138666
9991,2020-08-16,DE-BE,45.450758,18375557.524476,2419640.578671,297.95937999999995,0.0,36.020979,3.526311
10045,2020-08-17,DE-BE,46.137791,15247673.979021,2409169.176573,298.062993,6e-06,35.566434,2.824097
10099,2020-08-18,DE-BE,75.601457,1303495.051136,2408494.237762,294.14665099999996,0.006431,27.300698999999998,2.976603
10153,2020-08-19,DE-BE,69.195338,13365976.951049,2411228.501748,294.28409,0.00028,32.916084000000005,2.3071099999999998
10207,2020-08-20,DE-BE,59.643384999999995,9254249.146853,2412234.853147,296.783002,0.0,32.545455,2.704167
10261,2020-08-21,DE-BE,52.199943,14883852.307692,2411978.748252,300.96092200000004,0.00021099999999999998,33.475524,3.0230479999999997
10315,2020-08-22,DE-BE,77.264772,2126422.394231,2417796.75,295.650467,0.00373,22.573427,3.441958
10369,2020-08-23,DE-BE,59.33656800000001,11060566.727273,2418835.744755,293.458915,0.000295,31.65035,4.449679
10423,2020-08-24,DE-BE,65.799272,6363785.062937,2419038.5,291.885838,0.0008460000000000001,22.412587,3.965997
10477,2020-08-25,DE-BE,62.134440000000005,7836796.482516999,2413160.491259,291.890038,0.00062,28.93007,3.269085
10531,2020-08-26,DE-BE,78.20734200000001,1430187.40472,2395902.104895,290.407262,0.01009,21.181818,6.70472
10585,2020-08-27,DE-BE,71.372522,7135717.160839,2415348.104895,289.609645,0.00021600000000000002,21.909091,5.8743300000000005
10639,2020-08-28,DE-BE,73.183799,4296540.477273,2397011.0,290.37349,0.0038929999999999998,21.503497,3.1560610000000002
10693,2020-08-29,DE-BE,64.69297900000001,5845038.146853,2398063.463287,291.93685899999997,0.000103,25.0,2.576952
10747,2020-08-30,DE-BE,77.168617,3137450.835664,2405633.8076919997,291.00221600000003,0.007918000000000001,23.699301000000002,2.06859
10801,2020-08-31,DE-BE,77.42327900000001,7699174.56993,2422253.751748,290.468998,0.002735,23.972027999999998,2.79222
10855,2020-09-01,DE-BE,71.24679300000001,7417944.0314690005,2428424.659091,288.096472,7.900000000000001e-05,24.699301000000002,2.48581
10909,2020-09-02,DE-BE,83.80646999999999,4654238.769231,2425817.195804,287.775085,0.002691,20.426573,2.814598
10963,2020-09-03,DE-BE,68.059119,10397730.160839,2430671.821678,290.928787,0.008101,28.797203000000003,3.791812
11017,2020-09-04,DE-BE,83.862555,2043381.918706,2431760.178322,291.471183,0.002284,20.699301000000002,3.423689
11071,2020-09-05,DE-BE,84.62628000000001,463902.658217,2424788.548951,288.953759,0.004448,17.118881,2.9060610000000002
