index,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
7357,2020-06-28,DE-SN,73.405335,10350913.541808,2350499.611205,294.131774,0.005626,30.388795000000002,3.4281089999999996
7411,2020-06-29,DE-SN,68.680971,6884493.2007639995,2346802.355475,290.717336,0.005733,32.339983000000004,2.882622
7465,2020-06-30,DE-SN,55.403870999999995,18270102.905348003,2342529.74427,291.339165,9e-06,44.915535,5.2638
7519,2020-07-01,DE-SN,59.993954,15595450.840407,2338828.573005,294.76340600000003,0.001251,46.701613,4.488411
7573,2020-07-02,DE-SN,70.48335,12600614.532683,2343536.1928060004,293.056942,0.0013369999999999999,37.582767,2.887786
7627,2020-07-03,DE-SN,67.67227199999999,12202405.690577,2356561.329053,290.83770499999997,0.000978,37.668081,3.4074470000000003
7681,2020-07-04,DE-SN,53.46154,20636881.20034,2356445.6803900003,293.356044,0.00023700000000000001,44.509762,4.348159
7735,2020-07-05,DE-SN,58.835339000000005,5890461.622241001,2347667.431027,295.385723,0.000164,30.836163,5.510038
7789,2020-07-06,DE-SN,56.646071,15717093.472411,2348609.2365240003,290.957046,0.0007650000000000001,45.902377,5.473357
7843,2020-07-07,DE-SN,58.692170999999995,9040080.542233,2361134.639325,288.16578300000003,0.000455,36.05348,3.707988
7897,2020-07-08,DE-SN,85.5695,344205.277274,2356617.326188,286.3714,0.007095999999999999,23.325552,2.4700130000000002
7951,2020-07-09,DE-SN,80.036114,2256145.05677,2352210.811863,290.454148,0.002979,23.071307,3.25313
8005,2020-07-10,DE-SN,66.21422199999999,13481756.227292,2346047.3344650003,293.304639,0.0008150000000000001,29.41129,4.891427999999999
8059,2020-07-11,DE-SN,63.776805,10712607.877971001,2370201.485993,287.76854,0.000665,35.057725,2.519675
8113,2020-07-12,DE-SN,60.092448,14727263.016978,2379331.116299,287.717666,0.000299,43.040746999999996,2.2885880000000003
8167,2020-07-13,DE-SN,53.235601,12137407.476655,2371318.765811,289.95754700000003,0.0,45.233447,1.6830150000000001
8221,2020-07-14,DE-SN,47.405419,14199099.828523,2353079.116405,292.831129,3.1e-05,44.083192,2.893548
8275,2020-07-15,DE-SN,78.30381899999999,4994018.8701720005,2347753.863009,289.018665,0.007326000000000001,25.031834,2.458876
8329,2020-07-16,DE-SN,79.031824,10204027.450127,2355049.766447,288.139766,0.0049700000000000005,31.411715,2.549512
8383,2020-07-17,DE-SN,75.68419899999999,7936868.199066,2362692.7531830003,288.44163,0.001228,27.632428000000004,2.412321
8437,2020-07-18,DE-SN,65.933353,9749749.951613,2362819.336057,292.041007,8.7e-05,44.815789,1.829395
8491,2020-07-19,DE-SN,64.921318,17583939.993209,2355903.131685,294.14106,0.001471,36.602716,1.79893
8545,2020-07-20,DE-SN,67.395492,12847785.850594,2356793.217317,293.370978,0.003013,35.596773999999996,3.192238
8599,2020-07-21,DE-SN,58.261262,10158975.668294,2367336.795416,290.85199900000003,0.000713,39.661715,2.501512
8653,2020-07-22,DE-SN,53.827907999999994,16850397.656620998,2367189.438986,289.925971,2e-06,43.427419,2.1773290000000003
8707,2020-07-23,DE-SN,57.14560600000001,10638451.557088,2356365.416702,290.188887,0.00028,39.640917,2.108225
8761,2020-07-24,DE-SN,53.448389,18247521.694397,2344787.1304119998,293.110089,7.4e-05,35.871392,2.813964
8815,2020-07-25,DE-SN,60.150262,13018324.062818,2348018.034699,293.472923,0.000314,35.44652,2.1054009999999996
8869,2020-07-26,DE-SN,75.131951,4564321.763476,2348433.581388,291.663023,0.006023,28.495756,3.475249
8923,2020-07-27,DE-SN,61.20861,10867632.557937,2355201.106749,293.70788799999997,0.000675,32.205433,2.327143
8977,2020-07-28,DE-SN,50.220416,12999191.603141,2344431.0240869997,296.554236,9.8e-05,29.273345000000003,4.590054
9031,2020-07-29,DE-SN,51.044106,18336014.110781,2360785.896222,292.35925499999996,2.4e-05,41.157895,3.2999400000000003
9085,2020-07-30,DE-SN,49.091219,20464927.989813,2365388.265811,292.12131600000004,0.0,39.823854,2.171663
9139,2020-07-31,DE-SN,49.230571000000005,20180375.330220997,2361608.674342,293.228335,0.0,41.098048,2.1378220000000003
9193,2020-08-01,DE-SN,44.594689,19867754.332767002,2353975.8147279997,296.147759,0.00015,41.55348,2.248507
9247,2020-08-02,DE-SN,68.516359,4920599.982279,2347868.811863,293.903687,0.013113,28.429541999999998,2.540857
9301,2020-08-03,DE-SN,81.633147,5677985.563714,2344543.6800720003,289.55964700000004,0.009271,21.084041,3.040478
9355,2020-08-04,DE-SN,71.25506800000001,3192986.495119,2352097.164474,288.792365,0.00082,23.277165,2.779538
9409,2020-08-05,DE-SN,57.387108999999995,16106876.808573999,2363713.943124,291.606248,4e-06,39.035229,2.001643
9463,2020-08-06,DE-SN,55.817001,18879185.607385002,2368729.531728,294.25854100000004,1e-06,41.541596000000006,2.343287
9517,2020-08-07,DE-SN,58.940315000000005,15633927.509338,2369035.421689,297.12827799999997,1.9e-05,41.315789,1.854018
9571,2020-08-08,DE-SN,49.915832,17200239.232598,2366176.6122669997,298.917888,1e-06,41.109508,1.8632060000000001
9625,2020-08-09,DE-SN,48.190075,15585621.537776,2360464.2366299997,299.425705,9.8e-05,38.902801000000004,2.232541
9679,2020-08-10,DE-SN,72.549243,3689081.822156,2359897.019525,295.131012,0.004672,25.315365,2.554711
9733,2020-08-11,DE-SN,64.435661,15123595.189728,2362449.857916,296.487764,0.000828,38.34635,2.537774
9787,2020-08-12,DE-SN,56.976383,16230819.894737,2360673.658001,296.99906200000004,6.4e-05,40.083192,2.649114
9841,2020-08-13,DE-SN,56.399407999999994,12585039.920203999,2351745.612797,297.521294,0.001234,33.227928999999996,2.545648
9895,2020-08-14,DE-SN,75.908212,6765487.98907,2349410.820671,294.676069,0.009173,25.152376999999998,2.3077
9949,2020-08-15,DE-SN,79.59403499999999,5113139.952674,2352563.406728,293.998184,0.007862000000000001,21.936757,1.6619110000000001
10003,2020-08-16,DE-SN,59.489731000000006,16994534.165959,2350085.280666,295.644022,2.2e-05,37.975806,2.6268849999999997
10057,2020-08-17,DE-SN,67.606091,12557556.757639999,2342759.68368,294.212183,0.0022670000000000004,31.925721999999997,2.658735
10111,2020-08-18,DE-SN,81.12926,4487724.1140169995,2342479.0490240003,292.265787,0.01013,21.102292000000002,2.506399
10165,2020-08-19,DE-SN,70.839788,12712537.700339999,2344596.79011,292.40032,0.000597,34.278862,2.205277
10219,2020-08-20,DE-SN,59.942933999999994,11521350.787351,2346520.385611,295.555137,3e-06,32.27292,2.724255
10273,2020-08-21,DE-SN,50.613698,16448100.277589,2348048.491829,299.675278,1.3000000000000001e-05,34.883277,3.666007
10327,2020-08-22,DE-SN,79.104344,2640819.239919,2354419.21233,293.538163,0.002807,17.154075,3.546757
10381,2020-08-23,DE-SN,70.380093,10219587.437182,2354760.686651,291.266373,0.001539,22.683362,3.468257
10435,2020-08-24,DE-SN,69.915775,8733760.429966,2354042.6190580004,289.630287,0.000648,20.602292000000002,3.19273
10489,2020-08-25,DE-SN,62.476012,9630956.640068,2347644.583935,290.79166200000003,0.00043,28.116298999999998,3.10892
10543,2020-08-26,DE-SN,53.71232,7583677.2678270005,2336594.918294,292.640302,0.0005099999999999999,23.747878,8.252225
10597,2020-08-27,DE-SN,64.61666899999999,3823717.1651629996,2351294.1968380003,289.026944,0.000341,17.325976,4.985337
10651,2020-08-28,DE-SN,71.307101,7969670.47135,2330797.7075549997,290.289634,0.0063560000000000005,23.459677,4.079837
10705,2020-08-29,DE-SN,70.003298,4370923.382851999,2332780.768145,290.837198,0.001141,16.849321,3.344123
10759,2020-08-30,DE-SN,88.613473,322361.133721,2334630.834359,288.538961,0.031971,14.903226,2.872345
10813,2020-08-31,DE-SN,86.644012,4794085.943124,2354022.533744,287.92911499999997,0.009713,16.909593,3.185181
10867,2020-09-01,DE-SN,81.800106,3258996.373236,2356821.239389,286.135401,0.000975,14.387521,2.5386990000000003
10921,2020-09-02,DE-SN,75.811908,9211097.15938,2358851.45225,286.144518,0.001363,20.09635,2.546021
10975,2020-09-03,DE-SN,64.642114,9684325.350806,2365751.906515,289.144747,0.002781,26.144737,3.4570230000000004
11029,2020-09-04,DE-SN,74.685797,4170345.647018,2367348.8824279997,291.783899,0.000878,16.136672,3.887173
11083,2020-09-05,DE-SN,82.463707,2827829.579611,2357207.8748939997,289.650079,0.003599,15.342529999999998,2.942445
11137,2020-09-06,DE-SN,74.336894,7721810.280772001,2362655.907152,286.352033,0.000127,19.690153,2.209743
11191,2020-09-07,DE-SN,71.12646099999999,9486024.196732001,2372959.6069610002,286.422774,0.000161,27.276740000000004,2.0386
11245,2020-09-08,DE-SN,61.663899,11780306.42275,2377630.2751490003,289.353185,0.0,26.104414000000002,3.4560129999999996
11299,2020-09-09,DE-SN,61.94475799999999,13269406.0382,2366792.351974,291.80062000000004,4.7e-05,26.820034000000003,3.244288
11353,2020-09-10,DE-SN,71.978352,7341392.647283999,2366299.15556,287.982398,0.001534,21.675297,2.52066
11407,2020-09-11,DE-SN,71.414785,8863671.149618,2360216.235569,288.852355,7.8e-05,24.929542,1.934352
11461,2020-09-12,DE-SN,70.328401,10979968.369058,2364408.506261,291.396438,1e-06,23.806452,2.759179
11515,2020-09-13,DE-SN,70.398544,10394069.718591,2379719.4426990002,290.957786,0.0,22.417233,1.82705
11569,2020-09-14,DE-SN,65.641123,12758000.990238,2381200.4977720003,293.81876600000004,0.0,23.656620999999998,2.356758
11623,2020-09-15,DE-SN,62.632881000000005,12877887.020374,2368405.4372880002,295.035119,0.0,22.449491000000002,3.053291
11677,2020-09-16,DE-SN,63.76203100000001,11035159.364813,2360690.5698220003,294.422127,0.000182,20.32343,2.668421
11731,2020-09-17,DE-SN,66.353047,6620122.30539,2379182.590407,287.21634900000004,0.000134,19.085314,3.6542980000000003
11785,2020-09-18,DE-SN,58.828788,12960347.696519999,2382064.723048,285.090597,0.0,21.33107,2.555406
11839,2020-09-19,DE-SN,54.655274,9351064.311969,2368346.27621,286.510556,0.0,15.644737,2.707997
11893,2020-09-20,DE-SN,59.747637,11783702.413413001,2360302.3730900004,287.65842000000004,0.0,20.555178,2.626477
11947,2020-09-21,DE-SN,65.841877,11991528.354839,2356869.895267,288.84184300000004,0.0,20.147284,2.259166
12001,2020-09-22,DE-SN,65.36384100000001,11463169.697793,2344504.882534,290.996572,0.0,19.501698,2.656257
12055,2020-09-23,DE-SN,71.005794,6279266.260187,2333140.540641,291.255976,0.0013050000000000002,16.040323,2.580527
12109,2020-09-24,DE-SN,69.738805,7042602.943972999,2330333.467317,289.90549500000003,0.00062,14.745331,3.9142099999999997
12163,2020-09-25,DE-SN,81.624764,1260089.522065,2313047.45851,285.809189,0.010576,8.507639999999999,3.3529459999999998
12217,2020-09-26,DE-SN,92.799128,6262.086475,2308239.781409,280.39275200000003,0.028308999999999997,6.736842,4.026569
12271,2020-09-27,DE-SN,83.082022,932973.3041700001,2329194.373514,281.57444,0.00019099999999999998,6.725382000000001,2.774202
12325,2020-09-28,DE-SN,77.519851,6541278.156409,2344719.735357,283.668796,0.000741,14.005942000000001,1.9996990000000001
12379,2020-09-29,DE-SN,81.725143,2628030.646222,2355272.904711,284.610279,0.000654,10.890492,2.039111
