index,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
2489,2020-03-30,DE-HE,53.18331800000001,13235141.490182001,2377035.020007,274.897267,0.0005740000000000001,17.430159,3.038423
2543,2020-03-31,DE-HE,58.30368000000001,5135133.358466,2377408.319007,275.834544,4.3e-05,18.767692,3.2110830000000004
2597,2020-04-01,DE-HE,51.135185,15900408.655428,2360693.469155,275.867308,0.0,20.659132999999997,1.700804
2651,2020-04-02,DE-HE,57.14745,12874705.35754,2343042.608188,278.002163,1e-06,20.831049,2.720572
2705,2020-04-03,DE-HE,68.26091600000001,5103623.988005,2350703.9858279997,279.215307,0.001802,10.914042,3.069337
2759,2020-04-04,DE-HE,61.425903000000005,13862593.447388,2370221.127084,279.750156,2e-06,22.405335,2.177076
2813,2020-04-05,DE-HE,51.599591,16703708.273435,2368707.55854,283.01684700000004,0.0,22.849574,4.20182
2867,2020-04-06,DE-HE,46.994381,16910271.284179002,2367158.2728790003,285.520148,0.0,23.240459,3.070653
2921,2020-04-07,DE-HE,60.117474,14996033.242312,2382971.2926080003,286.575712,1e-05,23.110041,2.704424
2975,2020-04-08,DE-HE,52.626123,15903495.016673,2373003.431827,287.687883,0.0,23.870322,1.947876
3029,2020-04-09,DE-HE,53.722365,13713430.554279,2370057.613561,287.104936,3.7e-05,23.876991,2.398825
3083,2020-04-10,DE-HE,54.20066800000001,15086068.499444,2372732.981197,285.881826,0.0,23.609856,2.901045
3137,2020-04-11,DE-HE,44.967985,17652935.777695,2369918.2474060003,284.761164,2e-06,23.535383,2.208545
3191,2020-04-12,DE-HE,48.62178,13309145.33605,2351229.3332720003,286.948171,0.000534,23.855501999999998,2.441648
3245,2020-04-13,DE-HE,58.959880000000005,11413177.733235,2355444.988514,280.519798,0.001013,14.214153,4.4989300000000005
3299,2020-04-14,DE-HE,55.939939,4306662.264265,2370945.115969,277.47137599999996,0.00013700000000000002,19.305298,3.111745
3353,2020-04-15,DE-HE,54.531953,18236796.771397,2368741.126436,281.14911,0.0,22.197851,1.793734
3407,2020-04-16,DE-HE,49.488334,16544708.121156,2354325.628288,286.198819,0.0,24.059652,2.430169
3461,2020-04-17,DE-HE,55.176818000000004,15682762.25528,2351206.950259,287.511262,1.3000000000000001e-05,25.140793,2.115879
3515,2020-04-18,DE-HE,66.295702,11322060.709522,2349873.249815,287.58551800000004,0.0032479999999999996,19.731753,2.329733
3569,2020-04-19,DE-HE,65.262927,12369091.721378,2355510.453409,284.439022,0.001315,21.473879,4.174353
3623,2020-04-20,DE-HE,40.554361,19918593.668025,2357512.7037790003,284.03634300000004,0.0,27.311226,6.654329
3677,2020-04-21,DE-HE,39.522206,20090998.748425,2355947.922564,285.559168,0.0,28.316413,6.711262
3731,2020-04-22,DE-HE,39.732647,20257124.933679,2360881.7487959997,286.57368399999996,0.0,29.293072,5.383826
3785,2020-04-23,DE-HE,46.72762,20162460.864765,2359750.525102,286.329607,0.0,30.343830999999998,2.792665
3839,2020-04-24,DE-HE,51.199989,16310197.055576,2341795.588644,286.37620899999996,0.0,25.446091,3.252592
3893,2020-04-25,DE-HE,57.148049,16607145.713598002,2342276.373286,283.088432,6e-06,29.994071999999996,2.9393029999999998
3947,2020-04-26,DE-HE,54.175968999999995,18558352.268618,2339389.481475,284.414979,0.0,33.147833,1.8664
4001,2020-04-27,DE-HE,50.816069,17398970.296406,2333561.899315,286.599199,0.0,32.965913,2.5652049999999997
4055,2020-04-28,DE-HE,75.449558,3260669.522508,2326481.942849,284.90205699999996,0.005328,15.622823,2.891613
4109,2020-04-29,DE-HE,72.084089,10259264.146906,2329607.280104,285.55015699999996,0.001371,23.430529999999997,4.042212
4163,2020-04-30,DE-HE,81.476189,5074413.58605,2322820.915432,283.904218,0.007553,17.031864000000002,5.3325059999999995
4217,2020-05-01,DE-HE,82.395038,7731690.8797699995,2321276.610967,282.091423,0.005382,19.251945000000003,4.3917779999999995
4271,2020-05-02,DE-HE,82.287635,7907847.74435,2336416.533068,281.026724,0.004852,20.118562,3.928663
4325,2020-05-03,DE-HE,70.236334,8544061.260837,2355501.771489,283.44847200000004,0.000363,21.54761,2.147539
4379,2020-05-04,DE-HE,78.333415,6478475.457762,2354563.214709,282.822854,0.0028870000000000002,16.542794,2.699021
4433,2020-05-05,DE-HE,59.86849,17717856.594665,2361081.4577619997,281.119007,0.0,33.573175,3.096653
4487,2020-05-06,DE-HE,53.656456000000006,20297739.384216,2370568.98379,282.560094,0.0,35.591701,2.403634
4541,2020-05-07,DE-HE,51.170909,21443294.932938002,2368145.689607,285.613681,0.0,35.72249,1.693559
4595,2020-05-08,DE-HE,48.907388,16177461.501297,2355719.2789,288.478546,1e-06,29.926639,1.883478
